generation,train_best,train_median,train_worst,val_best,gen_time_s,total_time_s,dm_active
223,57911.20,57858.63,-89485.55,1452.54,7.10,2143.19,1
224,57911.20,57858.63,-88753.18,1452.54,6.85,2150.25,1
225,57911.20,57858.63,-89011.43,1452.54,6.90,2157.35,1
226,57911.20,57858.63,-88033.45,1452.54,6.97,2164.53,1
227,57911.20,57911.20,-89308.32,1452.54,6.88,2171.62,1
228,57911.20,57911.20,-85715.69,1452.54,6.88,2178.69,1
229,57911.20,57911.20,-85942.90,1452.54,6.87,2185.77,1
230,57911.20,57911.20,-87933.53,1463.02,6.92,2192.89,1
231,57911.20,57911.20,-86609.34,1452.54,6.97,2200.06,1
232,57911.20,57911.20,-88538.88,1463.02,6.90,2207.16,1
233,57911.20,57911.20,-88595.12,1463.02,6.89,2214.24,1
234,57911.20,57911.20,-86948.39,1452.54,6.82,2221.27,1
235,57911.20,57911.20,-87513.58,1452.54,6.87,2228.35,1
236,57911.20,57911.20,-88591.67,1452.54,6.85,2235.40,1
237,57911.20,57911.20,-88964.02,1452.54,6.87,2242.47,1
238,57911.20,57911.20,-86676.70,1463.02,6.83,2249.50,1
239,57911.20,57911.20,-88013.50,1452.54,6.84,2256.55,1
240,57911.20,57911.20,-88494.62,1452.54,6.86,2263.61,1
241,57911.20,57911.20,-87474.58,1452.54,6.81,2270.62,1
242,57911.20,57911.20,-86866.30,1452.54,6.85,2277.67,1
243,57911.20,57911.20,-87288.07,1452.54,6.85,2284.71,1
244,57911.20,57911.20,-87156.88,1452.54,6.80,2291.72,1
245,57911.40,57911.20,-87651.48,1452.54,6.85,2298.76,1
246,57911.40,57911.20,-87087.78,1463.02,6.95,2305.92,1
247,57911.40,57911.20,-86436.87,1463.02,6.82,2312.95,1
248,57911.40,57911.20,-88123.48,1452.54,6.90,2320.04,1
249,57911.40,57911.20,-86621.40,1452.54,6.81,2327.07,1
250,57911.40,57911.20,-85681.47,1452.54,6.84,2334.11,1
251,57911.40,57911.20,-86632.13,1463.02,6.82,2341.13,1
252,57911.40,57911.20,-86100.50,1452.54,6.84,2348.17,1
253,57911.40,57911.20,-86784.52,1463.02,6.81,2355.19,1
254,57911.40,57911.20,-89583.87,1452.54,6.81,2362.19,1
255,57911.40,57911.20,-86793.58,1452.54,6.85,2369.24,1
256,57911.40,57911.20,-88195.62,1452.54,6.82,2376.25,1
257,57911.40,57911.40,-88631.74,1452.54,6.82,2383.27,1
258,57911.40,57911.40,-86244.20,1452.54,6.84,2390.31,1
259,57911.40,57911.40,-88896.12,1452.54,6.81,2397.31,1
260,57911.40,57911.40,-87308.96,1452.54,6.82,2404.34,1
261,57911.40,57911.40,-88042.73,1452.54,6.80,2411.35,1
262,57911.40,57911.40,-87328.13,1452.54,6.81,2418.36,1
263,57911.40,57911.40,-88773.19,1452.54,6.81,2425.38,1
264,57911.40,57911.40,-87776.77,1452.54,6.81,2432.38,1
265,57911.40,57911.40,-88277.26,1452.54,6.90,2439.48,1
266,57911.40,57911.40,-88307.15,1452.54,6.83,2446.52,1
267,57912.62,57911.40,-86549.08,1452.54,6.81,2453.53,1
268,57912.62,57911.40,-86918.38,1452.54,6.79,2460.53,1
269,57912.62,57911.40,-87500.14,1452.54,6.77,2467.50,1
270,57912.62,57911.40,-84784.52,1452.54,6.82,2474.52,1
271,57912.62,57911.40,-85235.19,1452.54,6.77,2481.49,1
272,57912.62,57911.40,-88014.53,1463.02,6.78,2488.46,1
273,57912.62,57911.40,-88832.67,1452.54,6.98,2495.64,1
274,57912.62,57911.40,-88382.12,1452.54,7.00,2502.84,1
275,57912.62,57911.40,-85478.08,1452.54,7.00,2510.05,1
276,57912.62,57911.40,-86410.77,1452.54,6.97,2517.21,1
277,57912.62,57911.40,-86357.90,1463.02,6.94,2524.36,1
278,57912.62,57911.40,-85302.07,1452.54,6.99,2531.55,1
279,57912.62,57912.62,-88798.34,1452.54,7.06,2538.81,1
280,57912.62,57912.62,-86333.43,1463.02,7.14,2546.15,1
281,57912.62,57912.62,-87663.66,1452.54,7.19,2553.54,1
282,57912.62,57912.62,-86027.76,1452.54,7.24,2560.98,1
283,57912.62,57912.62,-85946.75,1452.54,7.10,2568.28,1
284,57912.62,57912.62,-86560.98,1463.02,6.95,2575.43,1
285,57912.62,57912.62,-88507.72,1463.02,7.00,2582.63,1
286,57912.62,57912.62,-89310.44,1463.02,6.98,2589.81,1
287,57912.62,57912.62,-86282.52,1463.02,7.06,2597.07,1
288,57912.62,57912.62,-86116.35,1452.54,7.05,2604.33,1
289,57912.62,57912.62,-88265.85,1463.02,6.92,2611.46,1
290,57912.62,57912.62,-87497.42,1452.54,6.92,2618.57,1
291,57912.62,57912.62,-88049.91,1463.02,6.84,2625.62,1
292,57912.62,57912.62,-88280.60,1452.54,6.81,2632.62,1
293,57912.62,57912.62,-87289.16,1452.54,6.84,2639.67,1
294,57912.62,57912.62,-87716.08,1463.02,6.80,2646.67,1
295,57912.62,57912.62,-87129.60,1452.54,6.80,2653.67,1
296,57912.62,57912.62,-87319.81,1452.54,6.82,2660.69,1
297,57912.62,57912.62,-89143.38,1463.02,6.99,2667.89,1
298,57912.62,57912.62,-88247.35,1463.02,6.82,2674.91,1
299,57912.62,57912.62,-86523.12,1452.54,6.81,2681.92,1
300,57912.62,57912.62,-86038.61,1463.02,6.81,2688.92,1
301,57912.62,57912.62,-86464.86,1452.54,6.87,2696.00,1
302,57912.62,57912.62,-87478.26,1463.02,6.80,2703.01,1
303,57912.62,57912.62,-85676.08,1463.02,6.80,2710.01,1
